id,session_id,user_message,bot_response,consent_given,created_at
0f93e7af-da13-46f4-aaea-d1c530271654,8738c877-bc84-4b91-aee3-b6e21a816280,What services does IDEAM provide?,"expert support in data analytics, biotechnology, and environmental science.",True,2026-02-28 20:57:17.075386
af91d74b-d8ee-4ff9-b153-cae6d83d3e8e,55f5a6c9-b314-4c17-9c8b-9c54b10536a2,what does IDEAM stand for?,Institute.,True,2026-02-28 21:04:52.934703
c1c061cf-cb12-4827-837c-a8b2c4d1dc8d,55f5a6c9-b314-4c17-9c8b-9c54b10536a2,what is IDEAM,a leading research organization dedicated to pioneering discoveries and developing technologies that address critical global challenges. Our mission is to advance knowledge and create solutions that benefit society and the environment. Our mission is to advance knowledge and create solutions that benefit society and the environment. Our mission is to advance knowledge and create solutions that benefit society and the environment. Our mission is to advance knowledge and create solutions that benefit society and the environment. Our mission is to advance knowledge and create solutions that benefit society and the environment. Our mission is to advance knowledge and create solutions that benefit society and the environment. Our mission is to advance knowledge and create solutions that benefit society and the environment. Our mission is to advance knowledge and create solutions that benefit society and the environment. Our mission is to advance knowledge and create solutions that benefit society and the environment. Our mission is to advance knowledge and create solutions that benefit society and the environment. Our mission is to advance knowledge and create solutions that benefit society and the environment. Our mission is to advance.,True,2026-02-28 21:05:22.407485
da8eaedb-ba10-47ec-a1cd-d31ab1fcabc6,55f5a6c9-b314-4c17-9c8b-9c54b10536a2,who are the members of the IDEAM,"dedicated researchers, scientists, and professionals who are passionate about making a difference.",True,2026-02-28 21:05:49.109542
c6305ae7-281f-4494-9576-07115d56511d,55f5a6c9-b314-4c17-9c8b-9c54b10536a2,who is smart factory,"The Smarter Factory Technology Gateway Programme is co-financed by the Government of Ireland and the European Union through the ERDF Southern, Eastern & Midland Regional Programme 2021-2027.",True,2026-02-28 21:06:05.323217
a7dc5057-c36c-40d6-8519-2561dfa6957e,55f5a6c9-b314-4c17-9c8b-9c54b10536a2,"who is Rishi in IDEAM
",Director of Smart Manufacturing at TUS- IDEAM Institute.,True,2026-02-28 21:06:21.264661
2379cb4f-02c3-4fb0-bdcc-a1b6d1ad24a7,55f5a6c9-b314-4c17-9c8b-9c54b10536a2,"who is johnin IDEAM
",Director of Smart Manufacturing at TUS- IDEAM Institute.,True,2026-02-28 21:06:29.241578
15046989-641f-4be9-b498-1cf734b09e7e,55f5a6c9-b314-4c17-9c8b-9c54b10536a2,"who is john in IDEAM and what is his role 
",Director of Smart Manufacturing at TUS- IDEAM Institute.,True,2026-02-28 21:06:48.368975
66ce55c5-df35-420e-bdd8-9b85587edfbc,cd47a70d-e55b-4663-a8f0-72c86c937cf3,what does IDEAM stand for?,Institute.,True,2026-02-28 21:12:20.138539
629a4487-c76b-436d-94d4-38c6157c0ba7,cd47a70d-e55b-4663-a8f0-72c86c937cf3,what does IDEAM stand for ?,Institute.,True,2026-02-28 21:12:36.558303
be389378-95f6-4701-90fe-d3d52bb99d1b,cd47a70d-e55b-4663-a8f0-72c86c937cf3,what does IDEAM stand for ?,Institute.,True,2026-02-28 21:17:59.721923
de2b6338-793f-455e-8c12-18ff401eb126,cd47a70d-e55b-4663-a8f0-72c86c937cf3,who is John Cosgrove,Director of Smart Manufacturing at TUS- IDEAM Institute.,True,2026-02-28 21:18:17.486218
574ffc39-5b6d-408a-b20d-a7925d3c1099,cd47a70d-e55b-4663-a8f0-72c86c937cf3,What is ideam ,"a leading research organization dedicated to pioneering discoveries and developing technologies that address critical global challenges. Our mission is to advance knowledge and create solutions that benefit society and the environment. Explore our journey, values, and the impact we make through our interdisciplinary research efforts.",True,2026-02-28 21:26:42.772295
d7776586-2898-4cd1-bd3a-7decefb9b26e,cd47a70d-e55b-4663-a8f0-72c86c937cf3,What are functions of Idea,"enabling teachers to empower students to harness the transformative potential of AI in design while fostering critical thinking, creativity, and ethical awareness.",True,2026-02-28 21:27:16.361561
e9a0995d-3708-478d-a428-8453ca647b37,cd47a70d-e55b-4663-a8f0-72c86c937cf3,Who is Rishi Pandey,Rishi Pandey is an assistant for IDEAM.,True,2026-02-28 21:28:59.534187
3ffee143-d94b-426a-92b0-e104a178b059,cd47a70d-e55b-4663-a8f0-72c86c937cf3,Who is Yash,an Irish Government-EU co-funded industry-facing organisation within the Technological University of the Shannon (TUS) and IDEAM Research Institute.,True,2026-02-28 21:30:44.273684
af70f920-1269-4e6a-9a11-665dc9b628a1,10072f0a-28bd-4a82-8e58-5337aba452fb,this is test 1,iii.,True,2026-02-28 21:47:09.066553
c010e315-af4e-4852-8e9e-aa0b0dadd9f9,10072f0a-28bd-4a82-8e58-5337aba452fb,this is test 2 ,AIDEA - Artificial Intelligence for a new Design Education Approach.,True,2026-02-28 21:47:29.552563
220d20c3-79b4-40b8-b450-9c04255c01c3,10072f0a-28bd-4a82-8e58-5337aba452fb,"
This is test 3",Multiple automation interconnected systems mimic real-world scenarios for comprehensive testing.,True,2026-02-28 21:48:38.440059
e01e84f5-a506-45aa-b525-f4608b014905,dfd6edca-6f30-479b-b7c7-eff1665dfcde,this is test 4 ,iii.,True,2026-02-28 21:52:17.379757
e59a457a-afe0-48b3-9a34-0e46e539a10d,997e15c9-26f9-4fa5-87be-bdabba9691ad,this is test 5 ,AIDEA - Artificial Intelligence for a new Design Education Approach.,True,2026-02-28 21:52:25.986535
02a47d31-4afd-4230-9196-cbd309e368ed,10072f0a-28bd-4a82-8e58-5337aba452fb,This is test 6,AIDEA - Artificial Intelligence for a new Design Education Approach.,True,2026-02-28 21:52:49.701522
674e97ed-5a0f-4616-98c1-a1391929ee78,dfd6edca-6f30-479b-b7c7-eff1665dfcde,this is test 4 part 2,iii.,True,2026-02-28 21:53:29.445778
